name,language,numberOfFiles,loc
ob-events-person-integration,total,21,330
pix-chave-reivindicacao-api,Markdown,1,16
pix-chave-reivindicacao-api,total,1,16
do-poc-sonarqube2,YAML,1,44
do-poc-sonarqube2,C#,2,27
do-poc-sonarqube2,MSBuild script,2,21
do-poc-sonarqube2,Markdown,1,4
do-poc-sonarqube2,total,6,96
poc-superdigital-flutter,Dart,20,447
poc-superdigital-flutter,JSON,3,168
poc-superdigital-flutter,Groovy,3,81
poc-superdigital-flutter,XML,6,60
poc-superdigital-flutter,Markdown,3,29
poc-superdigital-flutter,HTML,1,26
poc-superdigital-flutter,YAML,1,22
poc-superdigital-flutter,Swift,1,12
poc-superdigital-flutter,Kotlin,1,4
poc-superdigital-flutter,C/C++ Header,1,1
poc-superdigital-flutter,total,40,850
ob-ms-lp-bff,C#,190,6660
ob-ms-lp-bff,YAML,9,237
ob-ms-lp-bff,MSBuild script,6,118
ob-ms-lp-bff,JSON,3,45
ob-ms-lp-bff,Markdown,2,42
ob-ms-lp-bff,Dockerfile,2,14
ob-ms-lp-bff,DOS Batch,1,1
ob-ms-lp-bff,total,213,7117
bcc-qa-integration-associates,JSON,2,14168
bcc-qa-integration-associates,Markdown,1,16
bcc-qa-integration-associates,total,3,14184
qa-supercartoes,Markdown,1,16
qa-supercartoes,YAML,1,11
qa-supercartoes,total,2,27
cc-ob-api-definitions,YAML,12,5546
cc-ob-api-definitions,Markdown,1,16
cc-ob-api-definitions,total,13,5562
trn-web-main,JavaScript,260,18698
trn-web-main,TypeScript,203,16565
trn-web-main,JSON,34,10654
trn-web-main,Sass,144,8712
trn-web-main,CSS,3,2344
trn-web-main,YAML,11,342
trn-web-main,JSX,5,228
trn-web-main,Markdown,3,115
trn-web-main,HTML,1,50
trn-web-main,Dockerfile,1,7
trn-web-main,total,665,57715
do-grafana,YAML,34,1365
do-grafana,Markdown,1,441
do-grafana,JSON,1,1
do-grafana,total,36,1807
pa-ms-tax-manager,C#,425,416203
pa-ms-tax-manager,Smalltalk,6,2968
pa-ms-tax-manager,JSON,14,2051
pa-ms-tax-manager,YAML,13,452
pa-ms-tax-manager,MSBuild script,11,278
pa-ms-tax-manager,liquid,3,215
pa-ms-tax-manager,Markdown,2,40
pa-ms-tax-manager,Dockerfile,2,20
pa-ms-tax-manager,total,476,422227
spring-boot-config,Markdown,1,16
spring-boot-config,total,1,16
projects.wiki,Markdown,2,2
projects.wiki,total,2,2
pro-superdigital-l-master,JSON,1,122
pro-superdigital-l-master,total,1,122
pa-qa-integration-operation,JSON,2,4270
pa-qa-integration-operation,JavaScript,7,354
pa-qa-integration-operation,YAML,4,103
pa-qa-integration-operation,Markdown,1,6
pa-qa-integration-operation,total,14,4733
pix-spi-recebedor-receive-worker,Markdown,1,16
pix-spi-recebedor-receive-worker,total,1,16
arq-lib-common-hosting,C#,22,584
arq-lib-common-hosting,MSBuild script,5,57
arq-lib-common-hosting,YAML,2,49
arq-lib-common-hosting,JSON,4,43
arq-lib-common-hosting,total,33,733
ob-ms-veridas,JSON,3,4772
ob-ms-veridas,JavaScript,7,798
ob-ms-veridas,YAML,8,283
ob-ms-veridas,Markdown,1,38
ob-ms-veridas,Dockerfile,1,11
ob-ms-veridas,total,20,5902
qa-automation-rest-api-avengers,JSON,2,5154
qa-automation-rest-api-avengers,Markdown,1,16
qa-automation-rest-api-avengers,total,3,5170
do-py-scripts,Python,1,56
do-py-scripts,Markdown,1,16
do-py-scripts,total,2,72
pa-ms-dormancy,Markdown,1,16
pa-ms-dormancy,total,1,16
arq-lib-common-swagger,C#,32,1003
arq-lib-common-swagger,JSON,3,53
arq-lib-common-swagger,YAML,2,49
arq-lib-common-swagger,MSBuild script,2,27
arq-lib-common-swagger,total,39,1132
do-kaniko,Markdown,1,16
do-kaniko,total,1,16
api-cd-card-managment,Markdown,1,16
api-cd-card-managment,total,1,16
qa-tb-mexico-integrated-tests,Markdown,1,16
qa-tb-mexico-integrated-tests,total,1,16
cd-qa-integration-posting-chargeback,JSON,3,658
cd-qa-integration-posting-chargeback,total,3,658
transmit-security,YAML,37,1547
transmit-security,Sass,3,815
transmit-security,SQL,9,516
transmit-security,Python,2,204
transmit-security,JSON,3,118
transmit-security,XML,2,104
transmit-security,Markdown,2,94
transmit-security,Dockerfile,3,69
transmit-security,HTML,1,32
transmit-security,Bourne Shell,1,28
transmit-security,JavaScript,5,5
transmit-security,CSS,1,1
transmit-security,total,69,3533
do-tf-azure-sql-databases,YAML,1,89
do-tf-azure-sql-databases,Python,1,72
do-tf-azure-sql-databases,Markdown,3,32
do-tf-azure-sql-databases,JSON,1,3
do-tf-azure-sql-databases,total,6,196
saas-ms-account-management,Markdown,1,16
saas-ms-account-management,total,1,16
qa-azure-rest,Markdown,1,16
qa-azure-rest,total,1,16
pix-gestao-participantes-api,YAML,7,334
pix-gestao-participantes-api,Markdown,1,16
pix-gestao-participantes-api,Dockerfile,1,4
pix-gestao-participantes-api,total,9,354
cd-mfe-cards,TypeScript,80,5413
cd-mfe-cards,JSON,11,2674
cd-mfe-cards,Sass,23,798
cd-mfe-cards,JavaScript,25,631
cd-mfe-cards,YAML,11,341
cd-mfe-cards,Dockerfile,1,7
cd-mfe-cards,Markdown,1,1
cd-mfe-cards,total,152,9865
cd-poc-specflow,Markdown,1,16
cd-poc-specflow,total,1,16
ob-ms-camunda,C#,25,786
ob-ms-camunda,YAML,8,209
ob-ms-camunda,JSON,3,159
ob-ms-camunda,MSBuild script,5,106
ob-ms-camunda,Markdown,2,35
ob-ms-camunda,Dockerfile,2,27
ob-ms-camunda,XML,1,8
ob-ms-camunda,total,46,1330
saas-ms-transaction,Markdown,1,16
saas-ms-transaction,total,1,16
ob-events-FavoriteOtherBanks-integration,C#,7,103
ob-events-FavoriteOtherBanks-integration,YAML,2,81
ob-events-FavoriteOtherBanks-integration,Markdown,1,16
ob-events-FavoriteOtherBanks-integration,MSBuild script,1,9
ob-events-FavoriteOtherBanks-integration,total,11,209
dba-sql-scripts,SQL,35,13054
dba-sql-scripts,Markdown,1,16
dba-sql-scripts,total,36,13070
pix-chave-gestao-api,Markdown,1,16
pix-chave-gestao-api,total,1,16
bcc-events-ms-notifier,C#,9,140
bcc-events-ms-notifier,YAML,2,61
bcc-events-ms-notifier,Markdown,1,16
bcc-events-ms-notifier,MSBuild script,1,14
bcc-events-ms-notifier,total,13,231
api-trn-operation,Markdown,1,16
api-trn-operation,total,1,16
crd-ms-loan,C#,129,6891
crd-ms-loan,MSBuild script,15,310
crd-ms-loan,YAML,10,295
crd-ms-loan,JSON,8,235
crd-ms-loan,Markdown,2,36
crd-ms-loan,Dockerfile,1,10
crd-ms-loan,total,165,7777
doc,Markdown,1,16
doc,total,1,16
mbr-cd-events,C#,11,246
mbr-cd-events,YAML,2,81
mbr-cd-events,MSBuild script,2,31
mbr-cd-events,Markdown,1,16
mbr-cd-events,total,16,374
trn-db-integration-spb,SQL,3,2044
trn-db-integration-spb,YAML,2,49
trn-db-integration-spb,Markdown,1,16
trn-db-integration-spb,total,6,2109
pa-client-transaction-broker,C#,5,102
pa-client-transaction-broker,YAML,2,69
pa-client-transaction-broker,MSBuild script,2,40
pa-client-transaction-broker,Markdown,1,17
pa-client-transaction-broker,total,10,228
qa-automation-rest-api-pampas,Markdown,1,16
qa-automation-rest-api-pampas,total,1,16
arq-sonarqube,YAML,6,200
arq-sonarqube,Markdown,1,16
arq-sonarqube,total,7,216
cd-jobs,C#,29,535
cd-jobs,YAML,10,331
cd-jobs,MSBuild script,6,93
cd-jobs,JSON,5,82
cd-jobs,Markdown,1,16
cd-jobs,total,51,1057
cd-ms-cards-management,C#,206,8738
cd-ms-cards-management,Smalltalk,2,699
cd-ms-cards-management,YAML,10,328
cd-ms-cards-management,JSON,5,253
cd-ms-cards-management,MSBuild script,9,148
cd-ms-cards-management,Markdown,1,16
cd-ms-cards-management,Dockerfile,1,9
cd-ms-cards-management,total,234,10191
qa-automation-quantum-pa-ms-operation,C#,8,275
qa-automation-quantum-pa-ms-operation,MSBuild script,1,30
qa-automation-quantum-pa-ms-operation,Markdown,1,16
qa-automation-quantum-pa-ms-operation,JSON,1,15
qa-automation-quantum-pa-ms-operation,total,11,336
ccoe-td-topaz,CSS,1,826
ccoe-td-topaz,Markdown,12,210
ccoe-td-topaz,total,13,1036
ob-ms-idwall,C#,67,2066
ob-ms-idwall,YAML,8,274
ob-ms-idwall,MSBuild script,6,134
ob-ms-idwall,JSON,4,59
ob-ms-idwall,Markdown,2,42
ob-ms-idwall,Dockerfile,1,11
ob-ms-idwall,total,88,2586
zeebe-operate-helm,YAML,9,211
zeebe-operate-helm,make,1,34
zeebe-operate-helm,Markdown,1,25
zeebe-operate-helm,total,11,270
onboarding-pod-ios,Swift,251,18540
onboarding-pod-ios,C/C++ Header,57,4515
onboarding-pod-ios,JSON,96,2168
onboarding-pod-ios,YAML,1,54
onboarding-pod-ios,Markdown,1,18
onboarding-pod-ios,total,406,25295
pa-events-operations,YAML,2,80
pa-events-operations,C#,6,74
pa-events-operations,MSBuild script,1,18
pa-events-operations,Markdown,1,1
pa-events-operations,total,10,173
qa-quantum-integrated-tests,C#,10,572
qa-quantum-integrated-tests,MSBuild script,1,23
qa-quantum-integrated-tests,Markdown,1,16
qa-quantum-integrated-tests,JSON,1,15
qa-quantum-integrated-tests,total,13,626
do-ansible-mongodb,YAML,4,52
do-ansible-mongodb,Markdown,1,16
do-ansible-mongodb,Bourne Shell,1,12
do-ansible-mongodb,Python,1,10
do-ansible-mongodb,total,7,90
api-NOUSAR-openapi-config-v1,Markdown,1,16
api-NOUSAR-openapi-config-v1,total,1,16
ob-ms-prospect-email-validation,C#,42,1287
ob-ms-prospect-email-validation,YAML,8,255
ob-ms-prospect-email-validation,JSON,6,183
ob-ms-prospect-email-validation,MSBuild script,7,136
ob-ms-prospect-email-validation,Dockerfile,2,28
ob-ms-prospect-email-validation,Markdown,1,16
ob-ms-prospect-email-validation,total,66,1905
ux-lib-superdigital,Markdown,1,17
ux-lib-superdigital,total,1,17
template-dotnet,C#,59,1523
template-dotnet,YAML,10,239
template-dotnet,MSBuild script,11,215
template-dotnet,JSON,6,121
template-dotnet,Markdown,2,42
template-dotnet,Dockerfile,1,11
template-dotnet,total,89,2151
cc-transmit-sdks,HTML,407,52791
cc-transmit-sdks,JavaScript,88,3157
cc-transmit-sdks,CSS,6,2922
cc-transmit-sdks,Kotlin,33,2613
cc-transmit-sdks,XML,60,2397
cc-transmit-sdks,Java,15,1549
cc-transmit-sdks,C/C++ Header,17,1293
cc-transmit-sdks,Groovy,7,313
cc-transmit-sdks,Maven,9,233
cc-transmit-sdks,JSON,3,160
cc-transmit-sdks,Bourne Shell,1,129
cc-transmit-sdks,Prolog,2,60
cc-transmit-sdks,DOS Batch,1,59
cc-transmit-sdks,total,649,67676
ob-ms-files-manager,C#,42,1529
ob-ms-files-manager,YAML,9,271
ob-ms-files-manager,MSBuild script,5,97
ob-ms-files-manager,Markdown,2,52
ob-ms-files-manager,JSON,3,44
ob-ms-files-manager,Dockerfile,1,11
ob-ms-files-manager,total,62,2004
pocs-globalplatform-dotnet,JSON,22,15993
pocs-globalplatform-dotnet,C#,64,2011
pocs-globalplatform-dotnet,Sass,14,583
pocs-globalplatform-dotnet,JSX,16,509
pocs-globalplatform-dotnet,Dockerfile,10,170
pocs-globalplatform-dotnet,MSBuild script,15,157
pocs-globalplatform-dotnet,CSS,2,147
pocs-globalplatform-dotnet,YAML,4,127
pocs-globalplatform-dotnet,Markdown,2,53
pocs-globalplatform-dotnet,JavaScript,3,50
pocs-globalplatform-dotnet,TOML,1,33
pocs-globalplatform-dotnet,HTML,1,28
pocs-globalplatform-dotnet,total,154,19861
cd-sftp-server,YAML,8,319
cd-sftp-server,Markdown,1,57
cd-sftp-server,total,9,376
pix-spi-api,Markdown,1,16
pix-spi-api,total,1,16
ccoe-td-cpqd,Markdown,1,16
ccoe-td-cpqd,total,1,16
qa-test-web,Java,44,2417
qa-test-web,Markdown,6,302
qa-test-web,Maven,1,100
qa-test-web,XML,5,45
qa-test-web,total,56,2864
pa-events-transactions,C#,69,1107
pa-events-transactions,YAML,2,70
pa-events-transactions,MSBuild script,1,14
pa-events-transactions,Markdown,1,1
pa-events-transactions,total,73,1192
test-vmazzi,YAML,1,26
test-vmazzi,Markdown,1,16
test-vmazzi,Dockerfile,1,5
test-vmazzi,HTML,1,1
test-vmazzi,total,4,48
qa-tb-argentina-integrated-tests,C#,10,420
qa-tb-argentina-integrated-tests,MSBuild script,1,17
qa-tb-argentina-integrated-tests,Markdown,1,16
qa-tb-argentina-integrated-tests,total,12,453
cc-ui-design,Markdown,1,16
cc-ui-design,total,1,16
ob-ms-terms,C#,43,1695
ob-ms-terms,Smalltalk,4,270
ob-ms-terms,YAML,8,252
ob-ms-terms,MSBuild script,6,134
ob-ms-terms,XML,1,96
ob-ms-terms,JSON,5,78
ob-ms-terms,Markdown,1,16
ob-ms-terms,Dockerfile,1,11
ob-ms-terms,total,69,2552
design-system-component-android,XML,71,8109
design-system-component-android,Kotlin,47,3888
design-system-component-android,Groovy,4,167
design-system-component-android,Bourne Shell,1,129
design-system-component-android,DOS Batch,1,59
design-system-component-android,YAML,1,50
design-system-component-android,Prolog,1,18
design-system-component-android,Markdown,1,17
design-system-component-android,total,127,12437
trn-ms-plan,C#,128,9678
trn-ms-plan,Smalltalk,4,693
trn-ms-plan,YAML,9,246
trn-ms-plan,MSBuild script,7,200
trn-ms-plan,JSON,4,117
trn-ms-plan,Markdown,2,53
trn-ms-plan,XML,1,30
trn-ms-plan,Dockerfile,2,28
trn-ms-plan,total,157,11045
design-system-component-web,Sass,33,3747
design-system-component-web,TypeScript,36,2373
design-system-component-web,HTML,31,2095
design-system-component-web,Markdown,23,670
design-system-component-web,JSON,7,205
design-system-component-web,YAML,1,94
design-system-component-web,CSS,2,45
design-system-component-web,JavaScript,1,18
design-system-component-web,Bourne Shell,1,8
design-system-component-web,total,135,9255
arq-lib-common-hangfire,C#,14,369
arq-lib-common-hangfire,JSON,5,81
arq-lib-common-hangfire,MSBuild script,6,73
arq-lib-common-hangfire,YAML,2,50
arq-lib-common-hangfire,Markdown,1,16
arq-lib-common-hangfire,total,28,589
qa-automation-pampas-pa-ms-operation,Markdown,1,16
qa-automation-pampas-pa-ms-operation,total,1,16
do-ms-example,C#,56,1437
do-ms-example,YAML,9,200
do-ms-example,MSBuild script,10,187
do-ms-example,JSON,6,138
do-ms-example,Markdown,2,42
do-ms-example,Dockerfile,1,10
do-ms-example,total,84,2014
trn-api-definitions,YAML,7,4073
trn-api-definitions,JSON,3,3684
trn-api-definitions,Markdown,1,16
trn-api-definitions,total,11,7773
cd-qa-lake,C#,41,1304
cd-qa-lake,YAML,10,343
cd-qa-lake,JSON,4,87
cd-qa-lake,MSBuild script,4,68
cd-qa-lake,Markdown,1,13
cd-qa-lake,Dockerfile,1,9
cd-qa-lake,total,61,1824
ob-ms-ani,C#,40,1356
ob-ms-ani,YAML,10,313
ob-ms-ani,JSON,4,143
ob-ms-ani,MSBuild script,5,102
ob-ms-ani,Dockerfile,2,28
ob-ms-ani,Markdown,1,16
ob-ms-ani,total,62,1958
ob-ms-account-integration-collector-old,JSON,44,126075
ob-ms-account-integration-collector-old,C#,74,1443
ob-ms-account-integration-collector-old,YAML,9,262
ob-ms-account-integration-collector-old,MSBuild script,8,168
ob-ms-account-integration-collector-old,XML,9,65
ob-ms-account-integration-collector-old,Markdown,1,16
ob-ms-account-integration-collector-old,Dockerfile,1,11
ob-ms-account-integration-collector-old,total,146,128040
api-edge-config,Markdown,1,16
api-edge-config,total,1,16
ob-ms-renaper,C#,49,1803
ob-ms-renaper,YAML,9,267
ob-ms-renaper,MSBuild script,5,94
ob-ms-renaper,JSON,3,81
ob-ms-renaper,Dockerfile,2,28
ob-ms-renaper,Markdown,1,16
ob-ms-renaper,total,69,2289
qa-automation-transactions,C#,25,1029
qa-automation-transactions,JSON,4,466
qa-automation-transactions,YAML,1,60
qa-automation-transactions,MSBuild script,2,49
qa-automation-transactions,Cucumber,2,30
qa-automation-transactions,Markdown,1,16
qa-automation-transactions,total,35,1650
san-auth-android,Java,63,2938
san-auth-android,Markdown,1,287
san-auth-android,Maven,10,250
san-auth-android,Groovy,4,221
san-auth-android,Bourne Shell,1,129
san-auth-android,XML,11,112
san-auth-android,DOS Batch,1,59
san-auth-android,Prolog,1,18
san-auth-android,JSON,1,16
san-auth-android,total,93,4030
qa-automation-rest-api-cards-embossing,JSON,4,46405
qa-automation-rest-api-cards-embossing,Markdown,1,16
qa-automation-rest-api-cards-embossing,total,5,46421
arq-lib-common-appinsights,C#,15,394
arq-lib-common-appinsights,JSON,6,109
arq-lib-common-appinsights,MSBuild script,4,54
arq-lib-common-appinsights,YAML,2,48
arq-lib-common-appinsights,Markdown,1,39
arq-lib-common-appinsights,total,28,644
pm-client-ms-acquiring-MIT,Markdown,1,16
pm-client-ms-acquiring-MIT,total,1,16
android-components,Markdown,1,1
android-components,total,1,1
do-helm-jaeger,YAML,12,409
do-helm-jaeger,Markdown,1,89
do-helm-jaeger,total,13,498
qa-test-mobile-android,Java,14,442
qa-test-mobile-android,Markdown,7,324
qa-test-mobile-android,Maven,1,93
qa-test-mobile-android,XML,1,28
qa-test-mobile-android,Bourne Shell,1,7
qa-test-mobile-android,DOS Batch,1,4
qa-test-mobile-android,total,25,898
bcc-gp-events-ms-payments,C#,31,360
bcc-gp-events-ms-payments,YAML,2,48
bcc-gp-events-ms-payments,MSBuild script,1,17
bcc-gp-events-ms-payments,Markdown,1,16
bcc-gp-events-ms-payments,total,35,441
cd-ms-posting-sync,C#,17,418
cd-ms-posting-sync,YAML,6,217
cd-ms-posting-sync,JSON,3,116
cd-ms-posting-sync,MSBuild script,2,34
cd-ms-posting-sync,Markdown,1,16
cd-ms-posting-sync,Dockerfile,1,9
cd-ms-posting-sync,total,30,810
pm-ms-acquiring,C#,105,3350
pm-ms-acquiring,JSON,17,2142
pm-ms-acquiring,YAML,10,329
pm-ms-acquiring,MSBuild script,9,279
pm-ms-acquiring,Markdown,1,16
pm-ms-acquiring,Dockerfile,1,9
pm-ms-acquiring,SQL,1,2
pm-ms-acquiring,total,144,6127
trn-svc-cash,XML,30,2045
trn-svc-cash,Maven,5,272
trn-svc-cash,Bourne Shell,2,217
trn-svc-cash,DOS Batch,2,148
trn-svc-cash,SQL,2,81
trn-svc-cash,Java,2,80
trn-svc-cash,YAML,1,53
trn-svc-cash,total,44,2896
arq-lib-distributed-cache,C#,11,738
arq-lib-distributed-cache,YAML,2,99
arq-lib-distributed-cache,MSBuild script,5,94
arq-lib-distributed-cache,Markdown,1,16
arq-lib-distributed-cache,JSON,1,5
arq-lib-distributed-cache,total,20,952
trn-ms-pix,C#,190,5614
trn-ms-pix,YAML,8,248
trn-ms-pix,MSBuild script,8,124
trn-ms-pix,JSON,3,109
trn-ms-pix,Markdown,2,30
trn-ms-pix,Dockerfile,1,11
trn-ms-pix,total,212,6136
cd-events-posting,C#,18,719
cd-events-posting,YAML,2,101
cd-events-posting,MSBuild script,2,30
cd-events-posting,JSON,1,18
cd-events-posting,Markdown,1,6
cd-events-posting,total,24,874
ob-ms-emailage-integration-collector,C#,34,886
ob-ms-emailage-integration-collector,JSON,4,502
ob-ms-emailage-integration-collector,YAML,9,262
ob-ms-emailage-integration-collector,MSBuild script,8,163
ob-ms-emailage-integration-collector,Markdown,1,16
ob-ms-emailage-integration-collector,Dockerfile,1,11
ob-ms-emailage-integration-collector,total,57,1840
do-tf-databricks,YAML,1,59
do-tf-databricks,total,1,59
trn-client-channels-storage,C#,11,289
trn-client-channels-storage,XML,1,133
trn-client-channels-storage,YAML,2,85
trn-client-channels-storage,MSBuild script,2,43
trn-client-channels-storage,Markdown,1,16
trn-client-channels-storage,total,17,566
pa-api-definitions,YAML,19,37235
pa-api-definitions,Markdown,1,71
pa-api-definitions,JSON,1,3
pa-api-definitions,total,21,37309
cards-ios,Swift,85,5496
cards-ios,JSON,63,1460
cards-ios,Markdown,1,18
cards-ios,total,149,6974
sdbrasil-ms-modelo,C#,39,936
sdbrasil-ms-modelo,MSBuild script,7,136
sdbrasil-ms-modelo,Markdown,1,57
sdbrasil-ms-modelo,Dockerfile,1,16
sdbrasil-ms-modelo,JSON,2,12
sdbrasil-ms-modelo,total,50,1157
trn-ms-cards,C#,77,3112
trn-ms-cards,MSBuild script,11,242
trn-ms-cards,YAML,8,218
trn-ms-cards,JSON,4,154
trn-ms-cards,Markdown,2,42
trn-ms-cards,Dockerfile,1,11
trn-ms-cards,total,103,3779
qa-automation-rest-api,JSON,4,6618
qa-automation-rest-api,Markdown,1,16
qa-automation-rest-api,YAML,1,14
qa-automation-rest-api,total,6,6648
crm-ocp-dev,YAML,88,5782
crm-ocp-dev,Markdown,1,16
crm-ocp-dev,total,89,5798
kafka-listener,Java,48,1147
kafka-listener,YAML,4,232
kafka-listener,Bourne Shell,1,126
kafka-listener,DOS Batch,1,66
kafka-listener,Groovy,2,44
kafka-listener,Dockerfile,1,17
kafka-listener,Markdown,1,16
kafka-listener,total,58,1648
frontend.wiki,Markdown,34,850
frontend.wiki,total,34,850
do-poc-react,JSON,2,65
do-poc-react,YAML,1,45
do-poc-react,JavaScript,4,39
