name,commits,files
cd-api-definitions,13,4
san-auth-ios,125,1419
qa-supercartoes,3,3
do-poc-docker,10,13
do-tpl-pipeline,114,35
trn-android-authentication,295,94
pix-bacen-download-worker,1,1
trn-ms-person,1,1
pm-ms-subacquiring-bff,30,152
api-NOUSAR-openapi-person,7,7
transmit-directory,2,12
qa-test-mobile-ios,30,201
cd-db-embossing,84,67
qa-mobile-regression-tests,5,348
api-NOUSAR-mock,8,7
pix-chave-gestao-api,1,1
ob-ms-prospect-validation,217,114
qa-tb-colombia-integrated-tests,3,14
api-NOUSAR-openapi-account-management,7,7
pix-spi-recebedor-receive-worker,1,1
arq-lib-common-logger,34,40
api-NOUSAR-oauth,8,8
pa-ms-lock-documents,525,393
qa-lake-gateway,31,28
pa-client-transaction-broker,19,13
cd-db-posting,1,1
px-ms-pix-core,11,184
trn-svc-diagnostic-pts,845,65
cad-ms-userprofile-notification,166,148
do-healthchecks-ui,11,13
saas-ms-customer,2,28
do-k8s-zeebe,415,575
design-system-component-web,440,152
cad-ms-consent,57,112
qa-automation-data,1,1
bcc-utils-dotnet-keyvault,36,8
svc-mfe-payment,58,114
cad-ms-notification-builder,408,271
qa-automation-trn-transfer,47,62
devops-test,1,1
pa-client-ms-exchange-rates,38,21
do-ms-example,119,92
san-auth-backend,84,101
api-trn-payment,1,1
arq-lib-cryptonet,3,12
mbr-cd-events,31,19
do-setup-core-br,2,7
ssd.puppet.profiles,71,20
cd-qa-integration-authorizer,1,1
do-poc-dev1,24,11
pix-chave-reivindicacao-api,1,1
cd-configuration-management,1,1
